Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,44228
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/28/23 21:00:00,05/28/23 22:00:00,48
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 21:00:00,05/22/23 22:00:00,390
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/26/23 23:00:00,05/27/23 00:00:00,1240
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,13574
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/26/23 23:00:00,05/27/23 00:00:00,1083286196
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/26/23 22:00:00,05/26/23 23:00:00,174264
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 09:00:00,05/29/23 10:00:00,2
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/22/23 00:00:00,05/22/23 01:00:00,43049
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 14:00:00,05/28/23 15:00:00,14008
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/23/23 00:00:00,05/23/23 01:00:00,146395
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/21/23 21:00:00,05/21/23 22:00:00,0
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 16:00:00,05/28/23 17:00:00,27763
AmazonEC2,PublicIP-Out,EUW2-DataTransfer-Regional-Bytes,,05/28/23 22:00:00,05/28/23 23:00:00,3952
AmazonEC2,NatGateway,EUW2-NatGateway-Hours,,05/28/23 17:00:00,05/28/23 18:00:00,1
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/28/23 21:00:00,05/28/23 22:00:00,0.275833
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/22/23 21:00:00,05/22/23 22:00:00,1
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/22/23 23:00:00,05/23/23 00:00:00,0.764444
AmazonEC2,PublicIP-In,EUW2-DataTransfer-Regional-Bytes,,05/26/23 22:00:00,05/26/23 23:00:00,5928
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/21/23 23:00:00,05/22/23 00:00:00,0
AmazonEC2,NatGateway,EUW2-NatGateway-Bytes,,05/28/23 17:00:00,05/28/23 18:00:00,360
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/26/23 21:00:00,05/26/23 22:00:00,0
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 01:00:00,05/29/23 02:00:00,2
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 14:00:00,05/28/23 15:00:00,84
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 23:00:00,05/23/23 00:00:00,2770
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 16:00:00,05/28/23 17:00:00,208
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/28/23 19:00:00,05/28/23 20:00:00,4442905058
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/26/23 23:00:00,05/27/23 00:00:00,4214156
